# [MS-ERREF] 2.2 Win32 Error Codes, extracted by extract_ms_erref.py --table win32.
# Source: https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-erref/18d8fbe8-a967-4f1c-ae50-99ca8e491d2d
# Columns: code (hex, no prefix), symbolic name, description.
# Rows are in specification order; a code may carry more than one name.
00000068	ERROR_INVALID_AT_INTERRUPT_TIME	Cannot request exclusive semaphores at interrupt time.
00000069	ERROR_SEM_OWNER_DIED	The previous ownership of this semaphore has ended.
0000006A	ERROR_SEM_USER_LIMIT	Insert the disk for drive %1.
0000006B	ERROR_DISK_CHANGE	The program stopped because an alternate disk was not inserted.
0000006C	ERROR_DRIVE_LOCKED	The disk is in use or locked by another process.
0000006D	ERROR_BROKEN_PIPE	The pipe has been ended.
0000006E	ERROR_OPEN_FAILED	The system cannot open the device or file specified.
0000006F	ERROR_BUFFER_OVERFLOW	The file name is too long.
00000070	ERROR_DISK_FULL	There is not enough space on the disk.
00000071	ERROR_NO_MORE_SEARCH_HANDLES	No more internal file identifiers are available.
00000072	ERROR_INVALID_TARGET_HANDLE	The target internal file identifier is incorrect.
00000075	ERROR_INVALID_CATEGORY	The Input Output Control (IOCTL) call made by the application program is not correct.
00000076	ERROR_INVALID_VERIFY_SWITCH	The verify-on-write switch parameter value is not correct.
00000077	ERROR_BAD_DRIVER_LEVEL	The system does not support the command requested.
00000078	ERROR_CALL_NOT_IMPLEMENTED	This function is not supported on this system.
00000079	ERROR_SEM_TIMEOUT	The semaphore time-out period has expired.
0000007A	ERROR_INSUFFICIENT_BUFFER	The data area passed to a system call is too small.
0000007B	ERROR_INVALID_NAME	The file name, directory name, or volume label syntax is incorrect.
0000007C	ERROR_INVALID_LEVEL	The system call level is not correct.
0000007D	ERROR_NO_VOLUME_LABEL	The disk has no volume label.
0000007E	ERROR_MOD_NOT_FOUND	The specified module could not be found.
0000007F	ERROR_PROC_NOT_FOUND	The specified procedure could not be found.
00000080	ERROR_WAIT_NO_CHILDREN	There are no child processes to wait for.
00000081	ERROR_CHILD_NOT_COMPLETE	The %1 application cannot be run in Win32 mode.
00000082	ERROR_DIRECT_ACCESS_HANDLE	Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O.
00000083	ERROR_NEGATIVE_SEEK	An attempt was made to move the file pointer before the beginning of the file.
00000084	ERROR_SEEK_ON_DEVICE	The file pointer cannot be set on the specified device or file.
00000085	ERROR_IS_JOIN_TARGET	A JOIN or SUBST command cannot be used for a drive that contains previously joined drives.
00000086	ERROR_IS_JOINED	An attempt was made to use a JOIN or SUBST command on a drive that has already been joined.
00000087	ERROR_IS_SUBSTED	An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted.
00000088	ERROR_NOT_JOINED	The system tried to delete the JOIN of a drive that is not joined.
00000089	ERROR_NOT_SUBSTED	The system tried to delete the substitution of a drive that is not substituted.
0000008A	ERROR_JOIN_TO_JOIN	The system tried to join a drive to a directory on a joined drive.
0000008B	ERROR_SUBST_TO_SUBST	The system tried to substitute a drive to a directory on a substituted drive.
0000008C	ERROR_JOIN_TO_SUBST	The system tried to join a drive to a directory on a substituted drive.
0000008D	ERROR_SUBST_TO_JOIN	The system tried to SUBST a drive to a directory on a joined drive.
0000008E	ERROR_BUSY_DRIVE	The system cannot perform a JOIN or SUBST at this time.
0000008F	ERROR_SAME_DRIVE	The system cannot join or substitute a drive to or for a directory on the same drive.
